It took 15.920997619628906 seconds to calculate the Mandelbrot graph.
It took 0.20399999618530273 seconds to dump the image.
         2697341 function calls (2670085 primitive calls) in 17.469 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.051    0.051 _base.py:1(<module>)
        2    0.000    0.000    0.051    0.025 pyplot.py:2260(gca)
        2    0.000    0.000    0.051    0.025 figure.py:1487(gca)
        1    0.000    0.000    0.051    0.051 figure.py:646(add_subplot)
        1    0.000    0.000    0.051    0.051 _subplots.py:14(__init__)
        1    0.000    0.000    0.050    0.050 _base.py:553(__init__)
        1    0.000    0.000    0.047    0.047 offsetbox.py:23(<module>)
        1    0.000    0.000    0.046    0.046 colors.py:40(<module>)
    23427    0.025    0.000    0.043    0.000 inspect.py:2467(__init__)
     7805    0.003    0.000    0.043    0.000 __init__.py:653(__getitem__)
       10    0.000    0.000    0.042    0.004 __init__.py:109(import_module)
       10    0.000    0.000    0.042    0.004 <frozen importlib._bootstrap>:994(_gcd_import)
      236    0.000    0.000    0.041    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.041    0.041 backend_bases.py:2045(draw_idle)
      5/3    0.000    0.000    0.039    0.013 pyplot.py:206(switch_backend)
     5185    0.002    0.000    0.039    0.000 re.py:182(search)
      303    0.001    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        4    0.000    0.000    0.037    0.009 pyplot.py:267(backend_mod)
       88    0.000    0.000    0.037    0.000 font_manager.py:1248(findfont)
 3464/236    0.013    0.000    0.037    0.000 sre_compile.py:71(_compile)
      303    0.037    0.000    0.037    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.037    0.037 polar.py:1(<module>)
        2    0.000    0.000    0.036    0.018 image.py:622(draw)
        1    0.000    0.000    0.036    0.036 axis.py:3(<module>)
        2    0.000    0.000    0.036    0.018 image.py:947(make_image)
        1    0.000    0.000    0.036    0.036 backend_qtagg.py:3(<module>)
        2    0.002    0.001    0.035    0.018 image.py:310(_make_image)
        2    0.009    0.004    0.035    0.018 font_manager.py:1311(_findfont_cached)
        1    0.000    0.000    0.033    0.033 __init__.py:13(<module>)
       78    0.001    0.000    0.033    0.000 text.py:872(get_window_extent)
        8    0.000    0.000    0.032    0.004 axis.py:1083(_get_tick_bboxes)
        8    0.000    0.000    0.032    0.004 axis.py:1085(<listcomp>)
        1    0.000    0.000    0.032    0.032 _base.py:741(_init_axis)
   202855    0.031    0.000    0.031    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.030    0.030 image.py:4(<module>)
        2    0.000    0.000    0.030    0.015 axis.py:638(__init__)
530381/526830    0.029    0.000    0.030    0.000 {built-in method builtins.len}
       30    0.004    0.000    0.029    0.001 __init__.py:759(_rc_params_in_file)
        8    0.000    0.000    0.028    0.004 axis.py:1040(_update_ticks)
      108    0.001    0.000    0.028    0.000 text.py:290(_get_layout)
        1    0.000    0.000    0.028    0.028 qt_compat.py:12(<module>)
        3    0.000    0.000    0.028    0.009 qt_compat.py:80(_setup_pyqt5plus)
        1    0.000    0.000    0.028    0.028 textpath.py:1(<module>)
     8840    0.018    0.000    0.028    0.000 inspect.py:2750(__init__)
        1    0.000    0.000    0.027    0.027 _axes.py:46(Axes)
   296448    0.027    0.000    0.027    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.027    0.027 axis3d.py:5(<module>)
        1    0.000    0.000    0.025    0.025 Image.py:27(<module>)
        1    0.000    0.000    0.025    0.025 __init__.py:125(<module>)
