It took 15.920997619628906 seconds to calculate the Mandelbrot graph.
It took 0.20399999618530273 seconds to dump the image.
         2697341 function calls (2670085 primitive calls) in 17.469 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      402    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 artist.py:1321(ArtistInspector)
       16    0.000    0.000    0.000    0.000 ticker.py:224(<listcomp>)
       15    0.000    0.000    0.000    0.000 deprecation.py:244(__set_name__)
       10    0.000    0.000    0.000    0.000 rcsetup.py:269(validate_color_or_inherit)
  364/158    0.000    0.000    0.000    0.000 typing.py:669(__hash__)
      154    0.000    0.000    0.000    0.000 font_manager.py:844(set_stretch)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
  257/176    0.000    0.000    0.000    0.000 transforms.py:180(_invalidate_internal)
      142    0.000    0.000    0.000    0.000 markers.py:266(_set_fillstyle)
       25    0.000    0.000    0.000    0.000 core.py:5236(__init__)
       36    0.000    0.000    0.000    0.000 lines.py:692(_transform_path)
    92/50    0.000    0.000    0.000    0.000 _base.py:839(get_xaxis_transform)
      137    0.000    0.000    0.000    0.000 transforms.py:2421(transform_non_affine)
       16    0.000    0.000    0.000    0.000 core.py:1478(__or__)
        6    0.000    0.000    0.000    0.000 transforms.py:668(<listcomp>)
      118    0.000    0.000    0.000    0.000 artist.py:426(set_transform)
        6    0.000    0.000    0.000    0.000 pathlib.py:1368(is_dir)
       82    0.000    0.000    0.000    0.000 core.py:2207(__init__)
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
      351    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      154    0.000    0.000    0.000    0.000 font_manager.py:807(set_style)
        2    0.000    0.000    0.000    0.000 _base.py:3608(set_xlim)
     2246    0.000    0.000    0.000    0.000 __init__.py:1614(isEnabledFor)
     1177    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
       20    0.000    0.000    0.000    0.000 transforms.py:2839(nonsingular)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
       34    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(all)
      922    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 markers.py:146(MarkerStyle)
      902    0.000    0.000    0.000    0.000 inspect.py:2226(<lambda>)
      315    0.000    0.000    0.000    0.000 artist.py:242(convert_xunits)
     2594    0.000    0.000    0.000    0.000 font_manager.py:739(get_style)
    92/50    0.000    0.000    0.000    0.000 _base.py:915(get_yaxis_transform)
        1    0.000    0.000    0.000    0.000 backend_agg.py:87(__init__)
       35    0.000    0.000    0.000    0.000 core.py:2256(__init__)
        1    0.000    0.000    0.000    0.000 unicode.py:3(<module>)
      868    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
     2569    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
  504/243    0.000    0.000    0.000    0.000 transforms.py:2409(<lambda>)
        4    0.000    0.000    0.000    0.000 __init__.py:551(gen_candidates)
        6    0.000    0.000    0.000    0.000 transforms.py:669(<listcomp>)
       22    0.000    0.000    0.000    0.000 core.py:3819(_generateDefaultName)
      203    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 patches.py:4143(FancyArrowPatch)
       85    0.000    0.000    0.000    0.000 path.py:191(_update_values)
       36    0.000    0.000    0.000    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
     2594    0.000    0.000    0.000    0.000 font_manager.py:746(get_variant)
        1    0.000    0.000    0.000    0.000 colors.py:1064(_init)
       43    0.000    0.000    0.000    0.000 enum.py:447(_get_mixins_)
      998    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      146    0.000    0.000    0.000    0.000 sre_parse.py:837(_parse_flags)
        3    0.000    0.000    0.000    0.000 core.py:5660(min)
       10    0.000    0.000    0.000    0.000 axis.py:436(_get_text1_transform)
        1    0.000    0.000    0.000    0.000 backend_agg.py:418(FigureCanvasAgg)
      627    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        6    0.000    0.000    0.000    0.000 transforms.py:670(<listcomp>)
        2    0.000    0.000    0.000    0.000 unicode.py:63(<listcomp>)
       72    0.000    0.000    0.000    0.000 ticker.py:577(__call__)
    47/42    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
     1996    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      674    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       64    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 widgets.py:2742(RectangleSelector)
        6    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
      100    0.000    0.000    0.000    0.000 axis.py:340(_set_artist_props)
      303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.000    0.000 image.py:963(set_extent)
       10    0.000    0.000    0.000    0.000 _base.py:863(get_xaxis_text1_transform)
       52    0.000    0.000    0.000    0.000 core.py:889(__init__)
        1    0.000    0.000    0.000    0.000 _formlayout.py:33(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:595(_ensure_mutable)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
        1    0.000    0.000    0.000    0.000 Image.py:589(_copy)
      731    0.000    0.000    0.000    0.000 rcsetup.py:180(validator)
        1    0.000    0.000    0.000    0.000 __init__.py:494(get_configdir)
        2    0.000    0.000    0.000    0.000 pathlib.py:1266(mkdir)
    31/30    0.000    0.000    0.000    0.000 transforms.py:1122(get_points)
       75    0.000    0.000    0.000    0.000 rcsetup.py:91(<listcomp>)
      910    0.000    0.000    0.000    0.000 {built-in method from_bytes}
     2569    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       32    0.000    0.000    0.000    0.000 axis.py:1607(_set_formatter)
       38    0.000    0.000    0.000    0.000 functools.py:492(decorating_function)
      183    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
     2594    0.000    0.000    0.000    0.000 font_manager.py:727(get_family)
        3    0.000    0.000    0.000    0.000 core.py:1389(__mul__)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
       36    0.000    0.000    0.000    0.000 markers.py:345(get_transform)
     2232    0.000    0.000    0.000    0.000 font_manager.py:769(get_size)
        1    0.000    0.000    0.000    0.000 __init__.py:513(get_cachedir)
       14    0.000    0.000    0.000    0.000 re.py:207(split)
       16    0.000    0.000    0.000    0.000 core.py:3988(__init__)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'ImagingCore' objects}
        2    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
      374    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
        6    0.000    0.000    0.000    0.000 text.py:211(_get_xy_display)
       54    0.000    0.000    0.000    0.000 text.py:1227(_preprocess_math)
        1    0.000    0.000    0.000    0.000 core.py:2334(masked_invalid)
     2232    0.000    0.000    0.000    0.000 font_manager.py:1160(score_style)
        1    0.000    0.000    0.000    0.000 mlab.py:51(<module>)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        2    0.000    0.000    0.000    0.000 patches.py:708(__init__)
      189    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.affine_transform}
     2594    0.000    0.000    0.000    0.000 font_manager.py:761(get_stretch)
      258    0.000    0.000    0.000    0.000 lines.py:1222(set_xdata)
       24    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(diff)
       35    0.000    0.000    0.000    0.000 transforms.py:1332(__init_subclass__)
       36    0.000    0.000    0.000    0.000 _methods.py:91(_clip_dep_is_scalar_nan)
       36    0.000    0.000    0.000    0.000 transforms.py:2741(__init__)
       20    0.000    0.000    0.000    0.000 colors.py:1080(reversed)
       60    0.000    0.000    0.000    0.000 lines.py:1173(set_markerfacecolor)
      278    0.000    0.000    0.000    0.000 __init__.py:1180(is_interactive)
     2232    0.000    0.000    0.000    0.000 font_manager.py:1224(score_size)
      154    0.000    0.000    0.000    0.000 font_manager.py:817(set_variant)
        5    0.000    0.000    0.000    0.000 _base.py:1055(_set_position)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       34    0.000    0.000    0.000    0.000 fromnumeric.py:2367(all)
        8    0.000    0.000    0.000    0.000 hashlib.py:73(__get_builtin_constructor)
       84    0.000    0.000    0.000    0.000 path.py:162(_fast_from_codes_and_verts)
      131    0.000    0.000    0.000    0.000 core.py:1867(__eq__)
       79    0.000    0.000    0.000    0.000 core.py:3820(<genexpr>)
       17    0.000    0.000    0.000    0.000 patches.py:357(_set_facecolor)
       27    0.000    0.000    0.000    0.000 cycler.py:364(by_key)
      209    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
      472    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       44    0.000    0.000    0.000    0.000 text.py:1052(set_fontsize)
      115    0.000    0.000    0.000    0.000 typing.py:351(<genexpr>)
      766    0.000    0.000    0.000    0.000 __init__.py:879(<lambda>)
        5    0.000    0.000    0.000    0.000 colors.py:1278(autoscale_None)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _subplots.py:7(SubplotBase)
      200    0.000    0.000    0.000    0.000 enum.py:381(__setattr__)
        1    0.000    0.000    0.000    0.000 histograms.py:3(<module>)
       18    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
     12/2    0.000    0.000    0.000    0.000 core.py:1455(makeOptionalList)
       10    0.000    0.000    0.000    0.000 typing.py:626(__getitem__)
        1    0.000    0.000    0.000    0.000 cm.py:367(_scale_norm)
       10    0.000    0.000    0.000    0.000 axis.py:497(_get_text1_transform)
       40    0.000    0.000    0.000    0.000 colors.py:1040(__init__)
     1564    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 cm.py:602(autoscale_None)
        1    0.000    0.000    0.000    0.000 widgets.py:2063(SpanSelector)
       27    0.000    0.000    0.000    0.000 artist.py:23(allow_rasterization)
      360    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       56    0.000    0.000    0.000    0.000 stride_tricks.py:414(_broadcast_shape)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       61    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      741    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
      315    0.000    0.000    0.000    0.000 artist.py:254(convert_yunits)
       84    0.000    0.000    0.000    0.000 {built-in method builtins.round}
     2338    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
      114    0.000    0.000    0.000    0.000 __init__.py:1277(is_math_text)
        1    0.000    0.000    0.000    0.000 pathlib.py:1158(resolve)
       12    0.000    0.000    0.000    0.000 core.py:5453(__init__)
       10    0.000    0.000    0.000    0.000 axis.py:500(_get_text2_transform)
        1    0.000    0.000    0.000    0.000 gridspec.py:668(get_position)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2876(NavigationToolbar2)
        1    0.000    0.000    0.000    0.000 _color_data.py:2(<module>)
       10    0.000    0.000    0.000    0.000 _base.py:939(get_yaxis_text1_transform)
        1    0.000    0.000    0.000    0.000 rrule.py:7(<module>)
       10    0.000    0.000    0.000    0.000 axis.py:439(_get_text2_transform)
       33    0.000    0.000    0.000    0.000 colors.py:369(<setcomp>)
      454    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       43    0.000    0.000    0.000    0.000 enum.py:458(_find_data_type)
       32    0.000    0.000    0.000    0.000 rcsetup.py:700(<genexpr>)
        4    0.000    0.000    0.000    0.000 _base.py:1833(get_data_ratio)
      108    0.000    0.000    0.000    0.000 transforms.py:2218(<lambda>)
     1438    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       72    0.000    0.000    0.000    0.000 transforms.py:2919(_interval_contains_close)
      851    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        3    0.000    0.000    0.000    0.000 core.py:5794(max)
      258    0.000    0.000    0.000    0.000 lines.py:1234(set_ydata)
        1    0.000    0.000    0.000    0.000 isoparser.py:9(<module>)
      402    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
        1    0.000    0.000    0.000    0.000 util.py:2(<module>)
       10    0.000    0.000    0.000    0.000 _base.py:965(get_yaxis_text2_transform)
        1    0.000    0.000    0.000    0.000 patches.py:4499(ConnectionPatch)
       31    0.000    0.000    0.000    0.000 ntpath.py:287(expanduser)
       30    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
       24    0.000    0.000    0.000    0.000 function_base.py:1164(diff)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
     2232    0.000    0.000    0.000    0.000 font_manager.py:1177(score_variant)
      156    0.000    0.000    0.000    0.000 text.py:1149(set_x)
       10    0.000    0.000    0.000    0.000 _base.py:889(get_xaxis_text2_transform)
        1    0.000    0.000    0.000    0.000 scale.py:617(_get_scale_docs)
       37    0.000    0.000    0.000    0.000 core.py:2915(parseImpl)
        1    0.000    0.000    0.000    0.000 __init__.py:1092(use)
        6    0.000    0.000    0.000    0.000 colors.py:1479(make_norm_from_scale)
       32    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
      863    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       60    0.000    0.000    0.000    0.000 lines.py:713(set_transform)
     1827    0.000    0.000    0.000    0.000 artist.py:266(axes)
        1    0.000    0.000    0.000    0.000 pathlib.py:453(_make_selector)
       36    0.000    0.000    0.000    0.000 _methods.py:54(_any)
       68    0.000    0.000    0.000    0.000 pathlib.py:709(__str__)
       16    0.000    0.000    0.000    0.000 cycler.py:415(cycler)
        1    0.000    0.000    0.000    0.000 pathlib.py:519(__init__)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
      126    0.000    0.000    0.000    0.000 typing.py:165(_collect_type_vars)
      154    0.000    0.000    0.000    0.000 font_manager.py:794(set_family)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
        1    0.000    0.000    0.000    0.000 legend_handler.py:28(<module>)
      284    0.000    0.000    0.000    0.000 function_base.py:443(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 mathtext.py:35(__getattr__)
       35    0.000    0.000    0.000    0.000 typing.py:212(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 dviread.py:177(Dvi)
       41    0.000    0.000    0.000    0.000 transforms.py:2678(__init__)
        6    0.000    0.000    0.000    0.000 transforms.py:1070(set)
       72    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.000    0.000 pathlib.py:190(compile_pattern)
      126    0.000    0.000    0.000    0.000 colors.py:858(__init__)
       72    0.000    0.000    0.000    0.000 backend_agg.py:52(get_hinting_flag)
        1    0.000    0.000    0.000    0.000 mathtext.py:37(<dictcomp>)
      309    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      161    0.000    0.000    0.000    0.000 __init__.py:184(__init__)
        2    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
       23    0.000    0.000    0.000    0.000 core.py:4831(__init__)
      122    0.000    0.000    0.000    0.000 inspect.py:2551(__str__)
      219    0.000    0.000    0.000    0.000 shape_base.py:608(_column_stack_dispatcher)
        1    0.000    0.000    0.000    0.000 rcsetup.py:1244(<dictcomp>)
       91    0.000    0.000    0.000    0.000 text.py:1195(set_verticalalignment)
        2    0.000    0.000    0.000    0.000 core.py:3067(__array_wrap__)
        1    0.000    0.000    0.000    0.000 pathlib.py:193(resolve)
      156    0.000    0.000    0.000    0.000 transforms.py:2258(get_affine)
      236    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
       42    0.000    0.000    0.000    0.000 core.py:278(wrapper)
        1    0.000    0.000    0.000    0.000 patches.py:3853(FancyBboxPatch)
      382    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       24    0.000    0.000    0.000    0.000 deprecation.py:144(finalize)
        1    0.000    0.000    0.000    0.000 widgets.py:3339(PolygonSelector)
       16    0.000    0.000    0.000    0.000 axis.py:1567(set_major_formatter)
        4    0.000    0.000    0.000    0.000 transforms.py:1476(__array__)
       20    0.000    0.000    0.000    0.000 text.py:1138(set_position)
        1    0.000    0.000    0.000    0.000 __init__.py:895(<dictcomp>)
        1    0.000    0.000    0.000    0.000 colorbar.py:291(Colorbar)
      351    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ptp)
        1    0.000    0.000    0.000    0.000 platform.py:533(win32_ver)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
       16    0.000    0.000    0.000    0.000 cycler.py:474(_cycler)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
       72    0.000    0.000    0.000    0.000 ticker.py:542(_format_maybe_minus_and_locale)
       29    0.000    0.000    0.000    0.000 core.py:2948(_update_from)
       20    0.000    0.000    0.000    0.000 transforms.py:1100(__init__)
        2    0.000    0.000    0.000    0.000 _base.py:3939(set_ylim)
      303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      103    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       60    0.000    0.000    0.000    0.000 lines.py:1335(set_dash_capstyle)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        1    0.000    0.000    0.000    0.000 TiffTags.py:381(_populate)
       16    0.000    0.000    0.000    0.000 ticker.py:2001(_staircase)
      137    0.000    0.000    0.000    0.000 lines.py:61(_scale_dashes)
       36    0.000    0.000    0.000    0.000 core.py:2912(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 __init__.py:712(copy)
       16    0.000    0.000    0.000    0.000 ticker.py:1879(scale_range)
        1    0.000    0.000    0.000    0.000 lines.py:198(Line2D)
       26    0.000    0.000    0.000    0.000 deprecation.py:366(<listcomp>)
      236    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:713(<dictcomp>)
       16    0.000    0.000    0.000    0.000 transforms.py:803(unit)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
       92    0.000    0.000    0.000    0.000 axis.py:752(get_transform)
        1    0.000    0.000    0.000    0.000 _color_data.py:989(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:34(<module>)
       10    0.000    0.000    0.000    0.000 typing.py:180(_subs_tvars)
        2    0.000    0.000    0.000    0.000 dataclasses.py:562(_cmp_fn)
      899    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        2    0.000    0.000    0.000    0.000 dataclasses.py:526(_repr_fn)
       18    0.000    0.000    0.000    0.000 enum.py:479(_find_new_)
       69    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
        1    0.000    0.000    0.000    0.000 {built-in method nt._getfinalpathname}
       72    0.000    0.000    0.000    0.000 lines.py:929(_get_markerfacecolor)
       11    0.000    0.000    0.000    0.000 patches.py:364(set_facecolor)
       46    0.000    0.000    0.000    0.000 artist.py:1096(set_zorder)
        7    0.000    0.000    0.000    0.000 enum.py:835(__or__)
      156    0.000    0.000    0.000    0.000 text.py:1160(set_y)
        1    0.000    0.000    0.000    0.000 __init__.py:340(_sanity_check)
       30    0.000    0.000    0.000    0.000 locale.py:622(getpreferredencoding)
       16    0.000    0.000    0.000    0.000 axis.py:1633(set_major_locator)
      191    0.000    0.000    0.000    0.000 __init__.py:823(clean)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        8    0.000    0.000    0.000    0.000 spines.py:229(_adjust_location)
       36    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
      233    0.000    0.000    0.000    0.000 rcsetup.py:140(validate_bool)
       40    0.000    0.000    0.000    0.000 pathlib.py:719(__fspath__)
        1    0.000    0.000    0.000    0.000 axis.py:602(Axis)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:354(_get_scalar_type_map)
      102    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        5    0.000    0.000    0.000    0.000 PngImagePlugin.py:1025(putchunk)
       48    0.000    0.000    0.000    0.000 inspect.py:2533(replace)
       11    0.000    0.000    0.000    0.000 textwrap.py:465(indent)
      432    0.000    0.000    0.000    0.000 colors.py:226(<genexpr>)
        2    0.000    0.000    0.000    0.000 {built-in method nt.mkdir}
      134    0.000    0.000    0.000    0.000 backend_bases.py:935(set_foreground)
      360    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
        5    0.000    0.000    0.000    0.000 core.py:1344(__radd__)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
       91    0.000    0.000    0.000    0.000 text.py:957(set_horizontalalignment)
       16    0.000    0.000    0.000    0.000 cycler.py:206(_from_iter)
        3    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        1    0.000    0.000    0.000    0.000 _mathtext.py:72(Fonts)
       84    0.000    0.000    0.000    0.000 transforms.py:2226(transform_non_affine)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:365(<dictcomp>)
      500    0.000    0.000    0.000    0.000 ast.py:181(iter_fields)
       60    0.000    0.000    0.000    0.000 lines.py:1069(set_linewidth)
      100    0.000    0.000    0.000    0.000 scale.py:116(get_transform)
        4    0.000    0.000    0.000    0.000 _base.py:2482(_process_unit_info)
       10    0.000    0.000    0.000    0.000 markers.py:702(_set_tickdown)
       26    0.000    0.000    0.000    0.000 core.py:916(__init__)
        1    0.000    0.000    0.000    0.000 common.py:423(<listcomp>)
       16    0.000    0.000    0.000    0.000 fromnumeric.py:2539(ptp)
       48    0.000    0.000    0.000    0.000 text.py:241(set_rotation_mode)
       32    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
        1    0.000    0.000    0.000    0.000 patches.py:3090(ArrowStyle)
        1    0.000    0.000    0.000    0.000 patches.py:26(Patch)
        1    0.000    0.000    0.000    0.000 rcsetup.py:97(<listcomp>)
        1    0.000    0.000    0.000    0.000 offsetbox.py:690(TextArea)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1653(FigureCanvasBase)
        1    0.000    0.000    0.000    0.000 gridspec.py:145(get_grid_positions)
        1    0.000    0.000    0.000    0.000 _exceptions.py:7(<module>)
        1    0.000    0.000    0.000    0.000 art3d.py:283(Line3DCollection)
        1    0.000    0.000    0.000    0.000 mathtext.py:384(MathTextParser)
        1    0.000    0.000    0.000    0.000 backend_macosx.py:1(<module>)
      375    0.000    0.000    0.000    0.000 fromnumeric.py:70(<dictcomp>)
      145    0.000    0.000    0.000    0.000 inspect.py:714(getmodule)
        2    0.000    0.000    0.000    0.000 pathlib.py:483(select_from)
       14    0.000    0.000    0.000    0.000 abc.py:130(register)
        1    0.000    0.000    0.000    0.000 results.py:2(<module>)
       44    0.000    0.000    0.000    0.000 transforms.py:2044(translate)
        5    0.000    0.000    0.000    0.000 backend_bases.py:1575(_check_savefig_extra_args)
       44    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
       10    0.000    0.000    0.000    0.000 markers.py:682(_set_tickleft)
      304    0.000    0.000    0.000    0.000 rcsetup.py:790(_convert_validator_spec)
        1    0.000    0.000    0.000    0.000 helpers.py:1030(<listcomp>)
       42    0.000    0.000    0.000    0.000 results.py:531(copy)
       50    0.000    0.000    0.000    0.000 _internal.py:815(_ufunc_doc_signature_formatter)
        6    0.000    0.000    0.000    0.000 patches.py:455(set_fill)
      154    0.000    0.000    0.000    0.000 font_manager.py:915(set_math_fontfamily)
       24    0.000    0.000    0.000    0.000 dviread.py:159(decorate)
       26    0.000    0.000    0.000    0.000 __init__.py:1267(_fixupParents)
       38    0.000    0.000    0.000    0.000 numerictypes.py:358(issubdtype)
        1    0.000    0.000    0.000    0.000 streamplot.py:4(<module>)
       16    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
       14    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       60    0.000    0.000    0.000    0.000 lines.py:1183(set_markerfacecoloralt)
        1    0.000    0.000    0.000    0.000 mathtext.py:298(MathtextBackendPath)
      185    0.000    0.000    0.000    0.000 artist.py:439(get_transform)
        9    0.000    0.000    0.000    0.000 core.py:4049(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 backend_agg.py:325(clear)
        8    0.000    0.000    0.000    0.000 core.py:1615(__call__)
        1    0.000    0.000    0.000    0.000 collections.py:27(Collection)
       60    0.000    0.000    0.000    0.000 lines.py:1163(set_markeredgecolor)
        1    0.000    0.000    0.000    0.000 legend.py:284(Legend)
        1    0.000    0.000    0.000    0.000 _base.py:751(set_figure)
        1    0.000    0.000    0.000    0.000 units.py:41(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:109(<module>)
       27    0.000    0.000    0.000    0.000 __init__.py:1336(__init__)
       60    0.000    0.000    0.000    0.000 lines.py:1034(set_drawstyle)
        1    0.000    0.000    0.000    0.000 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      166    0.000    0.000    0.000    0.000 colors.py:565(__init__)
        1    0.000    0.000    0.000    0.000 unicode.py:118(pyparsing_unicode)
       16    0.000    0.000    0.000    0.000 axis.py:1593(set_minor_formatter)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
       85    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        1    0.000    0.000    0.000    0.000 contextlib.py:71(inner)
        2    0.000    0.000    0.000    0.000 cm.py:342(__init__)
      146    0.000    0.000    0.000    0.000 textwrap.py:477(prefixed_lines)
       31    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
       16    0.000    0.000    0.000    0.000 axis.py:1649(set_minor_locator)
        1    0.000    0.000    0.000    0.000 backend_managers.py:1(<module>)
        4    0.000    0.000    0.000    0.000 path.py:596(get_extents)
      314    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      308    0.000    0.000    0.000    0.000 font_manager.py:1022(_normalize_font_family)
        1    0.000    0.000    0.000    0.000 _base.py:1109(_gen_axes_patch)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
       10    0.000    0.000    0.000    0.000 __init__.py:214(connect)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1043(write)
       12    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
        1    0.000    0.000    0.000    0.000 image.py:913(__init__)
        5    0.000    0.000    0.000    0.000 core.py:5458(__add__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1534(_array_str_implementation)
      183    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 _asarray.py:5(<module>)
       18    0.000    0.000    0.000    0.000 core.py:992(__init__)
      590    0.000    0.000    0.000    0.000 transforms.py:1940(get_matrix)
       48    0.000    0.000    0.000    0.000 typing.py:777(<genexpr>)
       16    0.000    0.000    0.000    0.000 transforms.py:392(bounds)
